pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
77,Ponyta,1,Normal,Fire Horse Pokémon,1,Fire,Does not have,1.0,30.0,3,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
77,Galarian Ponyta,1,Normal,Unique Horn Pokémon,1,Psychic,Does not have,0.8,24.0,3,Run Away,Pastel Veil,Anticipation,50,85,55,65,65,90,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,Rapidash,1,Normal,Fire Horse Pokémon,1,Fire,Does not have,1.7,95.0,3,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,Galarian Rapidash,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80.0,3,Run Away,Pastel Veil,Anticipation,65,100,70,80,80,105,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
79,Slowpoke,1,Normal,Dopey Pokémon,2,Water,Psychic,1.2,36.0,3,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
79,Galarian Slowpoke,8,Normal,Dopey Pokémon,1,Psychic,Does not have,1.2,36.0,3,Gluttony,Own Tempo,Regenerator,90,65,65,40,40,15,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
80,Slowbro,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
80,Galarian Slowbro,8,Normal,Hermit Crab Pokémon,2,Poison,Psychic,1.6,70.5,3,Quick Draw,Own Tempo,Regenerator,95,100,95,100,70,30,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
81,Magnemite,1,Normal,Magnet Pokémon,2,Electric,Steel,0.3,6.0,3,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
82,Magneton,1,Normal,Magnet Pokémon,2,Electric,Steel,1.0,60.0,3,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
83,Farfetch'd,1,Normal,Wild Duck Pokémon,2,Normal,Flying,0.8,15.0,3,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
83,Galarian Farfetch'd,1,Normal,Wild Duck Pokémon,1,Fighting,Does not have,0.8,42.0,2,Steadfast,Does not have,Scrappy,52,95,55,58,62,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
84,Doduo,1,Normal,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
85,Dodrio,1,Normal,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
86,Seel,1,Normal,Sea Lion Pokémon,1,Water,Does not have,1.1,90.0,3,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,1.0,0.25,0.5,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
87,Dewgong,1,Normal,Sea Lion Pokémon,2,Water,Ice,1.7,120.0,3,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,1.0,0.5,0.5,2.0,2.0,125.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
88,Grimer,1,Normal,Sludge Pokémon,1,Poison,Does not have,0.9,30.0,3,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
88,Alolan Grimer,1,Normal,Sludge Pokémon,2,Poison,Dark,0.7,42.0,3,Poison Touch,Gluttony,Power of Alchemy,80,80,50,40,50,25,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
89,Muk,1,Normal,Sludge Pokémon,1,Poison,Does not have,1.2,30.0,3,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
89,Alolan Muk,1,Normal,Sludge Pokémon,2,Poison,Dark,1.0,52.0,3,Poison Touch,Gluttony,Power of Alchemy,105,105,75,65,100,50,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
90,Shellder,1,Normal,Bivalve Pokémon,1,Water,Does not have,0.3,4.0,3,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
91,Cloyster,1,Normal,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
92,Gastly,1,Normal,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,Does not have,Does not have,30,35,30,100,35,80,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
93,Haunter,1,Normal,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,Does not have,Does not have,45,50,45,115,55,95,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
94,Gengar,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,Does not have,Does not have,60,65,60,130,75,110,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
95,Onix,1,Normal,Rock Snake Pokémon,2,Rock,Ground,8.8,210.0,3,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
96,Drowzee,1,Normal,Hypnosis Pokémon,1,Psychic,Does not have,1.0,32.4,3,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
97,Hypno,1,Normal,Hypnosis Pokémon,1,Psychic,Does not have,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
98,Krabby,1,Normal,River Crab Pokémon,1,Water,Does not have,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
99,Kingler,1,Normal,Pincer Pokémon,1,Water,Does not have,1.3,60.0,3,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
100,Voltorb,1,Normal,Ball Pokémon,1,Electric,Does not have,0.5,10.4,3,Soundproof,Static,Aftermath,40,30,50,55,55,100,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
101,Electrode,1,Normal,Ball Pokémon,1,Electric,Does not have,1.2,66.6,3,Soundproof,Static,Aftermath,60,50,70,80,80,150,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
102,Exeggcute,1,Normal,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,Does not have,Harvest,60,40,80,60,45,40,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
103,Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Psychic,2.0,120.0,2,Chlorophyll,Does not have,Harvest,95,95,85,125,75,55,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
103,Alolan Exeggutor,1,Normal,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,Does not have,Harvest,95,105,85,125,75,45,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
104,Cubone,1,Normal,Lonely Pokémon,1,Ground,Does not have,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
105,Marowak,1,Normal,Bone Keeper Pokémon,1,Ground,Does not have,1.0,45.0,3,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
105,Alolan Marowak,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,1.0,34.0,3,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5
106,Hitmonlee,1,Normal,Kicking Pokémon,1,Fighting,Does not have,1.5,49.8,3,Limber,Reckless,Unburden,50,120,53,35,110,87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
107,Hitmonchan,1,Normal,Punching Pokémon,1,Fighting,Does not have,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
108,Lickitung,1,Normal,Licking Pokémon,1,Normal,Does not have,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
109,Koffing,1,Normal,Poison Gas Pokémon,1,Poison,Does not have,0.6,1.0,3,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
110,Weezing,1,Normal,Poison Gas Pokémon,1,Poison,Does not have,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
110,Galarian Weezing,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,3.0,16.0,3,Levitate,Neutralizing Gas,Misty Surge,65,90,120,85,70,60,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
111,Rhyhorn,1,Normal,Spikes Pokémon,2,Ground,Rock,1.0,115.0,3,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
112,Rhydon,1,Normal,Drill Pokémon,2,Ground,Rock,1.9,120.0,3,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
113,Chansey,1,Normal,Egg Pokémon,1,Normal,Does not have,1.1,34.6,3,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
114,Tangela,1,Normal,Vine Pokémon,1,Grass,Does not have,1.0,35.0,3,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
115,Kangaskhan,1,Normal,Parent Pokémon,1,Normal,Does not have,2.2,80.0,3,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
116,Horsea,1,Normal,Dragon Pokémon,1,Water,Does not have,0.4,8.0,3,Swift Swim,Sniper,Damp,30,40,70,70,25,60,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
117,Seadra,1,Normal,Dragon Pokémon,1,Water,Does not have,1.2,25.0,3,Poison Point,Sniper,Damp,55,65,95,95,45,85,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
118,Goldeen,1,Normal,Goldfish Pokémon,1,Water,Does not have,0.6,15.0,3,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
119,Seaking,1,Normal,Goldfish Pokémon,1,Water,Does not have,1.3,39.0,3,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
120,Staryu,1,Normal,Star Shape Pokémon,1,Water,Does not have,0.8,34.5,3,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
121,Starmie,1,Normal,Mysterious Pokémon,2,Water,Psychic,1.1,80.0,3,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
122,Mr. Mime,1,Normal,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,40,45,65,100,120,90,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
122,Galarian Mr. Mime,1,Normal,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,50,65,65,90,90,100,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.5,1.0,1.0,0.5,1.0,1.0,1.5,0.0,1.0,1.5,1.0
123,Scyther,1,Normal,Mantis Pokémon,2,Bug,Flying,1.5,56.0,3,Swarm,Technician,Steadfast,70,110,80,55,80,105,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
124,Jynx,1,Normal,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
125,Electabuzz,1,Normal,Electric Pokémon,1,Electric,Does not have,1.1,30.0,2,Static,Does not have,Vital Spirit,65,83,57,95,85,105,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
126,Magmar,1,Normal,Spitfire Pokémon,1,Fire,Does not have,1.3,44.5,2,Flame Body,Does not have,Vital Spirit,65,95,57,100,85,93,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
127,Pinsir,1,Normal,Stag Beetle Pokémon,1,Bug,Does not have,1.5,55.0,3,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
128,Tauros,1,Normal,Wild Bull Pokémon,1,Normal,Does not have,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
129,Magikarp,1,Normal,Fish Pokémon,1,Water,Does not have,0.9,10.0,2,Swift Swim,Does not have,Rattled,20,10,55,15,20,80,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
130,Gyarados,1,Normal,Atrocious Pokémon,2,Water,Flying,6.5,235.0,2,Intimidate,Does not have,Moxie,95,125,79,60,100,81,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
131,Lapras,1,Normal,Transport Pokémon,2,Water,Ice,2.5,220.0,3,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,1.0,1.0,0.0,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
132,Ditto,1,Normal,Transform Pokémon,1,Normal,Does not have,0.3,4.0,2,Limber,Does not have,Imposter,48,48,48,48,48,48,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
133,Eevee,1,Normal,Evolution Pokémon,1,Normal,Does not have,0.3,6.5,3,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
133,Partner Eevee,1,Normal,Evolution Pokémon,1,Normal,Does not have,0.3,6.5,1,Does not have,Does not have,Anticipation,65,75,70,65,85,75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
134,Vaporeon,1,Normal,Bubble Jet Pokémon,1,Water,Does not have,1.0,29.0,2,Water Absorb,Does not have,Hydration,130,65,60,110,95,65,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
135,Jolteon,1,Normal,Lightning Pokémon,1,Electric,Does not have,0.8,24.5,2,Volt Absorb,Does not have,Quick Feet,65,65,60,110,95,130,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
136,Flareon,1,Normal,Flame Pokémon,1,Fire,Does not have,0.9,25.0,2,Flash Fire,Does not have,Guts,65,130,60,95,110,65,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
137,Porygon,1,Normal,Virtual Pokémon,1,Normal,Does not have,0.8,36.5,3,Trace,Download,Analytic,65,60,70,85,75,40,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
138,Omanyte,1,Normal,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,Omastar,1,Normal,Spiral Pokémon,2,Rock,Water,1.0,35.0,3,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,Kabuto,1,Normal,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
141,Kabutops,1,Normal,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,Aerodactyl,1,Normal,Fossil Pokémon,2,Rock,Flying,1.8,59.0,3,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
143,Snorlax,1,Normal,Sleeping Pokémon,1,Normal,Does not have,2.1,460.0,3,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
147,Dratini,1,Normal,Dragon Pokémon,1,Dragon,Does not have,1.8,3.3,2,Shed Skin,Does not have,Marvel Scale,41,64,45,50,50,50,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
148,Dragonair,1,Normal,Dragon Pokémon,1,Dragon,Does not have,4.0,16.5,2,Shed Skin,Does not have,Marvel Scale,61,84,65,70,70,70,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
149,Dragonite,1,Normal,Dragon Pokémon,2,Dragon,Flying,2.2,210.0,2,Inner Focus,Does not have,Multiscale,91,134,95,100,100,80,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
152,Chikorita,2,Normal,Leaf Pokémon,1,Grass,Does not have,0.9,6.4,2,Overgrow,Does not have,Leaf Guard,45,49,65,49,65,45,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
153,Bayleef,2,Normal,Leaf Pokémon,1,Grass,Does not have,1.2,15.8,2,Overgrow,Does not have,Leaf Guard,60,62,80,63,80,60,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
155,Cyndaquil,2,Normal,Fire Mouse Pokémon,1,Fire,Does not have,0.5,7.9,2,Blaze,Does not have,Flash Fire,39,52,43,60,50,65,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
156,Quilava,2,Normal,Volcano Pokémon,1,Fire,Does not have,0.9,19.0,2,Blaze,Does not have,Flash Fire,58,64,58,80,65,80,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
157,Typhlosion,2,Normal,Volcano Pokémon,1,Fire,Does not have,1.7,79.5,2,Blaze,Does not have,Flash Fire,78,84,78,109,85,100,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
158,Totodile,2,Normal,Big Jaw Pokémon,1,Water,Does not have,0.6,9.5,2,Torrent,Does not have,Sheer Force,50,65,64,44,48,43,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
159,Croconaw,2,Normal,Big Jaw Pokémon,1,Water,Does not have,1.1,25.0,2,Torrent,Does not have,Sheer Force,65,80,80,59,63,58,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
160,Feraligatr,2,Normal,Big Jaw Pokémon,1,Water,Does not have,2.3,88.8,2,Torrent,Does not have,Sheer Force,85,105,100,79,83,78,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
161,Sentret,2,Normal,Scout Pokémon,1,Normal,Does not have,0.8,6.0,3,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
162,Furret,2,Normal,Long Body Pokémon,1,Normal,Does not have,1.8,32.5,3,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
163,Hoothoot,2,Normal,Owl Pokémon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
